productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Celery,2017-08-06,0.34,1.71,1.47,1.94,2.11,431.61764705882337
Cauliflower,2017-08-06,0.66,2.95,2.97,3.63,3.11,379.5454545454545
Carrots,2017-08-06,0.27,0.95,0.82,0.99,1.07,254.62962962962962
Cantaloupe,2017-08-06,0.52,1.75,2.19,3.11,2.48,358.1730769230769
Broccoli Crowns,2017-08-06,0.55,1.71,2.09,1.94,1.81,243.18181818181816
Broccoli Bunches,2017-08-06,0.44,1.67,1.3,1.39,2.47,288.0681818181818
Avocados,2017-08-06,1.6,1.31,1.75,1.44,2.0,1.5625
Tomatoes,2017-07-30,0.56,1.59,1.16,1.74,2.11,194.6428571428571
Strawberries,2017-07-30,0.84,2.24,2.24,2.87,2.49,192.8571428571429
Romaine Lettuce,2017-07-30,0.31,1.46,1.98,1.39,2.16,463.7096774193549
Red Leaf Lettuce,2017-07-30,0.29,1.52,1.71,1.39,2.11,480.17241379310354
Potatoes,2017-07-30,1.3,4.47,4.14,3.99,4.44,227.69230769230768
Plums,2017-07-30,0.89,1.72,1.92,2.12,2.21,123.876404494382
Peaches,2017-07-30,0.94,1.75,1.84,2.12,2.39,115.42553191489363
Oranges,2017-07-30,0.58,1.61,1.43,1.49,2.05,183.6206896551724
Nectarines,2017-07-30,0.96,1.45,1.84,2.24,2.16,100.2604166666667
Iceberg Lettuce,2017-07-30,0.38,1.24,1.31,1.44,1.69,273.6842105263157
Honeydews,2017-07-30,1.08,4.27,3.24,3.85,4.49,266.8981481481481
Green Leaf Lettuce,2017-07-30,0.29,1.75,1.67,1.39,1.93,481.03448275862064
Flame Grapes,2017-07-30,1.05,1.82,1.81,2.12,1.99,84.28571428571428
Celery,2017-07-30,0.34,1.94,1.94,1.94,2.11,483.08823529411757
Cauliflower,2017-07-30,0.72,2.95,2.97,3.18,3.24,328.47222222222223
Carrots,2017-07-30,0.27,0.95,0.82,0.99,1.32,277.77777777777777
Cantaloupe,2017-07-30,0.73,2.08,2.19,2.61,2.99,238.01369863013696
Broccoli Crowns,2017-07-30,0.53,1.71,1.93,1.82,1.6,233.01886792452834
Broccoli Bunches,2017-07-30,0.45,1.61,1.3,1.39,1.84,241.1111111111111
Avocados,2017-07-30,1.39,1.41,1.67,1.59,1.82,16.72661870503598
Tomatoes,2017-07-23,0.62,1.59,1.36,1.64,2.11,170.1612903225806
Strawberries,2017-07-23,0.72,2.47,1.99,2.75,3.24,262.84722222222223
Romaine Lettuce,2017-07-23,0.32,1.96,1.78,1.39,1.94,452.34375
Red Leaf Lettuce,2017-07-23,0.3,1.52,1.75,1.39,1.92,448.3333333333333
Potatoes,2017-07-23,1.2,3.97,4.14,3.99,5.72,271.25000000000006
Plums,2017-07-23,0.93,1.17,1.86,2.12,2.29,100.0
Peaches,2017-07-23,0.94,1.2,2.01,1.99,2.01,91.75531914893618
Oranges,2017-07-23,0.58,1.61,1.49,1.49,1.9,179.74137931034483
Nectarines,2017-07-23,0.96,1.3,2.01,1.99,2.54,104.16666666666666
Iceberg Lettuce,2017-07-23,0.48,1.24,1.31,1.39,1.69,193.2291666666666
Honeydews,2017-07-23,1.17,3.74,3.24,3.85,5.24,243.3760683760684
Green Leaf Lettuce,2017-07-23,0.29,1.99,1.33,1.39,1.97,475.86206896551727
Flame Grapes,2017-07-23,1.02,2.02,1.81,1.62,2.24,88.48039215686273
Celery,2017-07-23,0.43,2.08,1.56,1.94,2.04,343.0232558139535
Cauliflower,2017-07-23,0.7,2.95,2.15,3.38,3.11,313.92857142857144
Carrots,2017-07-23,0.27,0.95,0.82,0.99,1.07,254.62962962962962
Cantaloupe,2017-07-23,0.75,2.37,2.44,2.61,2.97,246.33333333333334
Broccoli Crowns,2017-07-23,0.59,1.87,2.08,1.94,1.98,233.4745762711865
Broccoli Bunches,2017-07-23,0.51,1.78,1.31,1.39,1.94,214.70588235294116
Avocados,2017-07-23,1.09,1.39,1.67,1.75,1.65,48.16513761467887
Tomatoes,2017-07-16,0.58,1.59,1.36,1.64,1.91,180.17241379310346
Strawberries,2017-07-16,0.72,2.55,2.87,2.37,2.82,268.40277777777777
Potatoes,2017-07-16,1.0,5.47,4.14,3.99,5.21,370.24999999999994
Plums,2017-07-16,0.93,1.81,1.79,1.99,2.21,109.6774193548387
Peaches,2017-07-16,0.94,1.69,1.89,1.99,2.26,108.24468085106385
Oranges,2017-07-16,0.58,1.73,1.41,1.74,1.83,189.22413793103453
Nectarines,2017-07-16,0.92,1.82,1.89,1.62,2.04,100.27173913043477
Red Leaf Lettuce,2017-07-16,0.33,1.52,1.41,1.39,1.82,365.1515151515151
Green Leaf Lettuce,2017-07-16,0.33,1.75,1.38,1.39,1.66,368.1818181818182
Romaine Lettuce,2017-07-16,0.3,1.96,1.66,1.39,2.05,488.33333333333326
Iceberg Lettuce,2017-07-16,0.52,1.24,1.16,1.44,1.69,165.86538461538458
Honeydews,2017-07-16,1.58,3.61,3.49,4.82,4.99,167.56329113924048
Flame Grapes,2017-07-16,1.05,2.01,2.19,2.12,2.09,100.23809523809524
Celery,2017-07-16,0.57,1.94,2.02,1.89,2.29,257.0175438596492
Cauliflower,2017-07-16,0.84,2.95,3.22,3.38,3.49,288.09523809523813
Carrots,2017-07-16,0.27,0.95,0.82,0.99,1.14,261.11111111111103
Cantaloupe,2017-07-16,0.7,2.15,2.56,2.99,3.24,290.7142857142858
Broccoli Crowns,2017-07-16,0.57,2.04,1.81,1.82,1.81,228.07017543859652
Broccoli Bunches,2017-07-16,0.51,1.61,1.3,1.39,1.69,193.62745098039218
Avocados,2017-07-16,1.03,1.39,1.54,1.82,1.82,59.466019417475735
Tomatoes,2017-07-09,0.4,1.48,1.36,1.64,1.91,299.37499999999994
Strawberries,2017-07-09,0.78,2.82,2.32,2.99,2.59,243.58974358974353
Potatoes,2017-07-09,1.0,3.96,4.07,3.99,5.22,331.00000000000006
Plums,2017-07-09,1.0,1.59,2.11,1.49,2.11,82.50000000000001
Peaches,2017-07-09,0.94,1.45,2.36,1.24,2.04,88.56382978723406
Oranges,2017-07-09,0.58,1.64,1.37,1.66,1.99,187.06896551724142
Nectarines,2017-07-09,0.92,1.7,2.36,1.12,2.04,96.19565217391303
Red Leaf Lettuce,2017-07-09,0.31,1.52,1.48,1.39,1.92,408.8709677419355
Green Leaf Lettuce,2017-07-09,0.32,1.75,1.42,1.39,1.87,402.34375
Romaine Lettuce,2017-07-09,0.35,1.96,1.93,1.39,1.94,415.71428571428567
Iceberg Lettuce,2017-07-09,0.61,1.24,1.29,1.26,1.69,124.59016393442623
Honeydews,2017-07-09,2.58,3.92,2.99,4.35,5.99,67.15116279069765
Flame Grapes,2017-07-09,1.16,2.27,2.36,2.49,2.09,98.49137931034487
Celery,2017-07-09,0.71,1.8,2.08,1.89,2.21,180.98591549295776
Cauliflower,2017-07-09,0.92,2.88,3.27,3.88,2.86,250.27173913043475
Carrots,2017-07-09,0.27,0.95,0.84,0.99,1.07,256.48148148148147
Cantaloupe,2017-07-09,1.08,2.24,2.61,3.11,3.21,158.56481481481475
Broccoli Crowns,2017-07-09,0.55,2.04,1.79,1.94,1.97,251.81818181818176
Broccoli Bunches,2017-07-09,0.51,1.61,0.99,1.39,1.99,193.1372549019608
Avocados,2017-07-09,1.03,1.29,1.45,1.75,1.74,51.21359223300972
Tomatoes,2017-07-02,0.4,1.32,1.43,1.57,1.99,294.375
Strawberries,2017-07-02,1.09,2.65,1.72,2.5,2.32,110.77981651376146
Potatoes,2017-07-02,1.0,3.96,4.07,3.99,4.72,318.50000000000006
Plums,2017-07-02,1.18,1.99,2.11,1.99,2.49,81.77966101694916
Peaches,2017-07-02,0.94,2.49,1.74,2.12,2.04,123.13829787234044
Oranges,2017-07-02,0.58,1.65,1.34,1.49,1.89,174.56896551724142
Nectarines,2017-07-02,0.84,2.15,1.86,1.99,2.04,139.28571428571428
Red Leaf Lettuce,2017-07-02,0.32,1.52,1.98,1.39,1.89,429.6874999999999
Green Leaf Lettuce,2017-07-02,0.32,1.75,1.91,1.39,1.65,423.4374999999999
Romaine Lettuce,2017-07-02,0.35,1.96,2.36,1.44,1.94,450.0
Iceberg Lettuce,2017-07-02,0.5,0.98,1.24,1.44,1.69,167.49999999999997
Honeydews,2017-07-02,2.83,3.92,2.87,4.35,5.99,51.325088339222624
Flame Grapes,2017-07-02,1.28,2.4,2.19,2.49,2.45,86.13281250000003
Celery,2017-07-02,0.78,1.8,2.08,1.89,2.21,155.76923076923075
Cauliflower,2017-07-02,0.75,2.88,2.64,3.13,3.54,306.33333333333326
Carrots,2017-07-02,0.26,0.95,0.82,0.99,1.14,274.99999999999994
Cantaloupe,2017-07-02,1.5,2.14,1.99,2.18,2.99,55.00000000000001
Broccoli Crowns,2017-07-02,0.57,2.04,1.75,1.82,2.87,271.92982456140356
Broccoli Bunches,2017-07-02,0.54,1.78,1.41,0.99,1.84,178.70370370370367
Avocados,2017-07-02,1.04,1.39,1.65,1.75,2.0,63.22115384615383
Tomatoes,2017-06-25,0.52,1.49,1.36,1.69,2.09,218.75
Strawberries,2017-06-25,1.16,2.74,2.32,2.62,2.75,124.78448275862068
Potatoes,2017-06-25,1.0,3.96,4.07,3.99,5.22,331.00000000000006
Plums,2017-06-25,1.25,2.31,2.24,1.99,2.36,78.0
Peaches,2017-06-25,0.94,2.31,1.99,1.86,2.04,118.08510638297874
Oranges,2017-06-25,0.56,1.82,1.37,1.49,2.1,202.67857142857144
Nectarines,2017-06-25,0.84,2.49,2.36,1.86,2.36,169.94047619047623
Red Leaf Lettuce,2017-06-25,0.31,1.64,1.93,1.44,1.92,458.8709677419355
Green Leaf Lettuce,2017-06-25,0.31,1.99,1.83,1.44,1.87,475.0
Romaine Lettuce,2017-06-25,0.35,1.64,2.4,1.44,1.99,433.5714285714286
Iceberg Lettuce,2017-06-25,0.45,1.49,1.29,1.39,1.69,225.55555555555551
Honeydews,2017-06-25,2.66,4.27,2.87,3.85,4.99,50.18796992481202
Flame Grapes,2017-06-25,1.28,1.81,2.24,1.99,2.46,66.015625
Celery,2017-06-25,0.83,1.93,2.08,1.89,2.29,146.6867469879518
Cauliflower,2017-06-25,0.81,2.98,2.89,3.98,3.54,313.2716049382716
Carrots,2017-06-25,0.26,0.96,0.84,0.99,1.14,277.88461538461536
Cantaloupe,2017-06-25,1.5,2.18,1.87,3.11,3.11,71.16666666666667
Broccoli Crowns,2017-06-25,0.57,2.28,1.79,1.94,1.99,250.87719298245617
Broccoli Bunches,2017-06-25,0.55,1.63,0.99,1.39,1.94,170.4545454545454
Avocados,2017-06-25,1.04,1.41,1.45,1.75,1.87,55.769230769230745
Strawberries,2017-06-18,1.22,2.2,1.55,2.49,3.09,91.18852459016394
Potatoes,2017-06-18,1.0,3.96,4.07,3.99,4.72,318.50000000000006
Plums,2017-06-18,1.25,2.42,1.99,2.24,2.49,82.80000000000001
Peaches,2017-06-18,0.92,2.08,1.68,2.24,2.36,127.17391304347822
Oranges,2017-06-18,0.53,1.58,1.36,1.49,1.99,202.8301886792453
Nectarines,2017-06-18,0.88,2.32,1.68,1.82,2.36,132.38636363636363
Green Leaf Lettuce,2017-06-18,0.31,1.65,1.91,1.44,1.76,445.1612903225806
Iceberg Lettuce,2017-06-18,0.43,1.24,1.22,1.39,1.75,225.58139534883722
Red Leaf Lettuce,2017-06-18,0.31,1.42,1.98,1.44,1.92,445.1612903225806
Romaine Lettuce,2017-06-18,0.35,1.89,2.36,1.44,1.94,444.99999999999994
Honeydews,2017-06-18,2.16,3.92,3.24,3.85,4.49,79.39814814814814
Flame Grapes,2017-06-18,1.05,2.02,2.22,1.74,2.09,92.14285714285715
Celery,2017-06-18,0.7,1.8,1.96,1.94,2.54,194.28571428571425
Cauliflower,2017-06-18,1.2,2.88,2.89,3.98,4.04,187.29166666666669
Carrots,2017-06-18,0.26,0.95,0.82,0.99,1.32,292.30769230769226
Broccoli Crowns,2017-06-18,0.62,2.04,1.68,1.94,2.49,228.62903225806454
Broccoli Bunches,2017-06-18,0.55,1.78,1.41,1.39,1.23,164.09090909090912
Avocados,2017-06-18,1.07,1.32,1.68,1.59,1.72,47.42990654205605
Strawberries,2017-06-11,1.09,2.2,1.98,2.49,3.06,123.16513761467891
Potatoes,2017-06-11,1.0,3.96,4.07,3.99,5.22,331.00000000000006
Plums,2017-06-11,1.3,1.99,2.24,1.66,2.36,58.653846153846146
Peaches,2017-06-11,0.96,1.69,1.99,1.99,2.24,105.98958333333334
Oranges,2017-06-11,0.52,1.61,1.36,1.62,2.22,227.40384615384616
Nectarines,2017-06-11,0.88,2.19,2.36,2.24,2.36,159.94318181818184
Red Leaf Lettuce,2017-06-11,0.29,1.56,1.93,1.39,1.92,486.2068965517242
Green Leaf Lettuce,2017-06-11,0.29,1.65,1.83,1.39,1.87,481.03448275862075
Romaine Lettuce,2017-06-11,0.29,1.89,2.47,1.39,1.94,562.9310344827586
Iceberg Lettuce,2017-06-11,0.46,1.24,1.29,1.44,1.59,202.17391304347828
Honeydews,2017-06-11,1.83,3.92,3.49,3.85,4.49,115.1639344262295
Flame Grapes,2017-06-11,1.05,2.37,2.24,1.99,2.21,109.76190476190477
Celery,2017-06-11,0.69,1.64,2.62,1.99,2.41,213.768115942029
Cauliflower,2017-06-11,1.31,3.21,2.81,3.48,3.99,157.44274809160305
Carrots,2017-06-11,0.26,0.95,0.82,0.99,1.07,268.2692307692308
Cantaloupe,2017-06-11,0.77,3.29,2.62,2.19,2.74,251.94805194805193
Broccoli Crowns,2017-06-11,0.53,2.04,1.89,1.99,2.14,280.188679245283
Broccoli Bunches,2017-06-11,0.49,1.61,1.31,1.39,2.27,235.71428571428572
Avocados,2017-06-11,1.05,1.32,1.41,1.62,1.86,47.85714285714284
Strawberries,2017-06-04,1.22,2.26,1.99,1.99,2.31,75.2049180327869
Potatoes,2017-06-04,1.0,3.96,4.07,3.99,4.72,318.50000000000006
Peaches,2017-06-04,0.88,2.49,1.99,2.16,2.36,155.68181818181816
Oranges,2017-06-04,0.66,1.62,1.35,1.49,2.22,153.03030303030303
Nectarines,2017-06-04,0.88,2.32,2.11,1.49,2.16,129.54545454545453
Red Leaf Lettuce,2017-06-04,0.29,1.42,1.98,1.39,1.92,478.44827586206907
Green Leaf Lettuce,2017-06-04,0.29,1.65,1.91,1.39,1.76,478.44827586206895
Romaine Lettuce,2017-06-04,0.28,1.49,2.33,1.39,2.24,565.1785714285713
Iceberg Lettuce,2017-06-04,0.53,1.24,1.41,1.44,1.61,168.86792452830187
Honeydews,2017-06-04,1.58,3.94,3.37,3.6,4.24,139.71518987341773
Flame Grapes,2017-06-04,1.05,1.85,1.94,1.87,2.62,97.14285714285715
Cauliflower,2017-06-04,0.95,3.21,2.81,3.48,4.04,256.31578947368416
Carrots,2017-06-04,0.27,0.95,0.82,0.99,1.32,277.77777777777777
Broccoli Crowns,2017-06-04,0.51,2.04,1.74,1.87,2.49,299.01960784313724
Broccoli Bunches,2017-06-04,0.5,1.61,1.31,1.39,1.23,176.99999999999994
Avocados,2017-06-04,1.1,1.39,1.81,1.75,1.72,51.590909090909086
Strawberries,2017-05-28,1.0,2.66,2.24,2.5,2.86,156.5
Potatoes,2017-05-28,1.0,3.96,4.07,3.99,5.22,331.00000000000006
Oranges,2017-05-28,0.66,1.49,1.2,1.34,1.93,125.75757575757574
Red Leaf Lettuce,2017-05-28,0.29,1.75,1.79,1.74,1.82,512.0689655172415
Green Leaf Lettuce,2017-05-28,0.29,1.65,1.71,1.74,1.82,496.55172413793105
Romaine Lettuce,2017-05-28,0.28,1.52,2.29,1.74,2.3,600.892857142857
Iceberg Lettuce,2017-05-28,0.51,1.24,1.79,1.52,1.94,218.1372549019608
Honeydews,2017-05-28,1.5,3.27,3.38,3.56,3.74,132.50000000000003
Flame Grapes,2017-05-28,1.11,2.9,1.5,2.24,2.81,112.83783783783785
Celery,2017-05-28,2.12,1.54,2.33,2.12,2.57,0.9433962264151052
Cauliflower,2017-05-28,0.98,3.44,3.56,4.98,2.57,271.1734693877551
Carrots,2017-05-28,0.29,0.95,0.82,0.99,1.07,230.17241379310346
Cantaloupe,2017-05-28,0.6,3.45,2.06,2.17,2.56,326.6666666666667
Broccoli Crowns,2017-05-28,0.61,2.04,1.84,2.14,2.32,241.8032786885246
Broccoli Bunches,2017-05-28,0.59,1.78,1.84,1.39,1.84,190.25423728813558
Avocados,2017-05-28,1.07,1.31,1.77,1.59,2.09,57.94392523364485
Strawberries,2017-05-21,1.09,1.98,1.83,2.68,2.86,114.44954128440364
Potatoes,2017-05-21,1.0,3.96,4.07,3.99,5.22,331.00000000000006
Oranges,2017-05-21,0.64,1.44,1.2,1.34,1.93,130.85937499999994
Red Leaf Lettuce,2017-05-21,0.33,1.85,1.93,1.44,1.82,433.33333333333337
Green Leaf Lettuce,2017-05-21,0.33,1.65,1.83,1.44,1.82,410.6060606060606
Romaine Lettuce,2017-05-21,0.36,1.39,2.47,1.44,2.3,427.7777777777778
Iceberg Lettuce,2017-05-21,0.36,1.24,1.79,1.39,1.94,341.66666666666663
Honeydews,2017-05-21,1.0,3.61,3.38,3.85,3.74,264.5
Flame Grapes,2017-05-21,1.5,2.22,1.73,2.24,2.56,45.83333333333333
Celery,2017-05-21,2.22,1.54,2.33,2.19,2.57,-2.8153153153153143
Cauliflower,2017-05-21,1.0,3.44,3.56,3.98,4.05,275.75
Carrots,2017-05-21,0.29,0.95,0.82,0.99,1.07,230.17241379310346
Cantaloupe,2017-05-21,0.7,3.32,2.43,2.69,2.56,292.8571428571429
Broccoli Crowns,2017-05-21,0.73,2.04,1.85,2.14,2.22,182.53424657534248
Broccoli Bunches,2017-05-21,0.73,1.78,1.31,1.79,1.84,130.13698630136986
Avocados,2017-05-21,1.14,1.31,1.77,1.75,2.09,51.75438596491229
Strawberries,2017-05-14,0.94,2.66,1.81,2.43,3.06,164.89361702127664
Potatoes,2017-05-14,1.0,3.96,4.24,3.99,5.22,335.25
Oranges,2017-05-14,0.59,1.23,1.39,1.42,2.04,157.62711864406782
Red Leaf Lettuce,2017-05-14,0.35,1.52,1.98,1.49,1.82,386.4285714285715
Green Leaf Lettuce,2017-05-14,0.39,1.75,1.91,1.49,1.76,342.94871794871796
Romaine Lettuce,2017-05-14,0.4,1.94,1.41,1.49,2.39,351.875
Iceberg Lettuce,2017-05-14,0.61,1.24,1.79,1.49,2.19,175.00000000000006
Cauliflower,2017-05-14,1.2,2.95,3.06,3.98,3.79,187.08333333333337
Carrots,2017-05-14,0.29,0.95,0.89,0.99,1.07,236.20689655172418
Cantaloupe,2017-05-14,0.95,2.07,1.93,2.98,2.81,157.63157894736847
Broccoli Crowns,2017-05-14,1.12,1.97,1.68,2.04,2.22,76.56249999999997
Broccoli Bunches,2017-05-14,1.08,1.61,1.31,1.79,2.11,57.870370370370374
Avocados,2017-05-14,1.16,1.31,1.5,1.75,2.09,43.318965517241395
Strawberries,2017-05-07,0.96,2.31,1.81,2.37,2.86,143.48958333333334
Potatoes,2017-05-07,1.0,3.37,4.07,3.99,4.72,303.74999999999994
Oranges,2017-05-07,0.51,1.07,1.2,1.29,1.9,167.6470588235294
Red Leaf Lettuce,2017-05-07,0.45,1.52,1.93,1.49,1.92,281.11111111111114
Green Leaf Lettuce,2017-05-07,0.45,1.52,1.83,1.49,1.87,272.77777777777777
Romaine Lettuce,2017-05-07,0.45,1.92,2.47,1.49,2.24,351.1111111111112
Iceberg Lettuce,2017-05-07,0.44,1.49,1.79,1.49,2.06,288.0681818181818
Celery,2017-05-07,1.74,1.54,1.81,1.94,2.17,7.183908045977017
Cauliflower,2017-05-07,1.98,2.95,3.56,3.98,4.29,86.61616161616163
Carrots,2017-05-07,0.29,0.95,0.82,0.99,2.17,325.0
Cantaloupe,2017-05-07,1.04,3.2,2.65,2.36,2.81,164.90384615384613
Broccoli Crowns,2017-05-07,1.28,1.97,2.04,1.94,1.55,46.48437499999998
Broccoli Bunches,2017-05-07,1.12,1.33,1.31,1.54,1.84,34.37499999999998
Avocados,2017-05-07,1.16,1.44,1.65,1.62,1.8,40.301724137931046
Asparagus,2017-05-07,2.7,3.75,2.91,4.49,3.74,37.870370370370374
Potatoes,2017-04-30,1.0,3.94,3.99,3.99,4.72,316.0
Strawberries,2017-04-30,0.83,2.74,2.25,2.25,2.81,202.71084337349401
Oranges,2017-04-30,0.45,1.2,1.2,1.12,1.97,204.99999999999997
Red Leaf Lettuce,2017-04-30,0.52,1.52,1.98,1.57,2.52,264.90384615384613
Green Leaf Lettuce,2017-04-30,0.52,1.55,1.91,1.49,2.32,249.51923076923075
Romaine Lettuce,2017-04-30,0.52,2.2,2.36,1.57,2.86,332.2115384615384
Iceberg Lettuce,2017-04-30,0.66,0.98,1.66,1.49,2.19,139.3939393939394
Celery,2017-04-30,1.45,1.51,1.71,1.97,1.92,22.586206896551708
Cauliflower,2017-04-30,1.82,3.17,3.56,3.98,4.29,106.04395604395603
Broccoli Crowns,2017-04-30,0.69,1.97,2.0,1.99,2.58,209.42028985507247
Broccoli Bunches,2017-04-30,0.56,1.6,1.22,1.79,1.69,181.25
Avocados,2017-04-30,1.17,1.07,1.53,1.44,1.95,27.991452991453002
Asparagus,2017-04-30,2.87,3.41,3.28,4.49,3.98,32.055749128919864
Strawberries,2017-04-23,0.94,2.43,2.11,2.74,3.49,186.43617021276597
Oranges,2017-04-23,0.48,1.25,1.32,1.06,1.65,175.00000000000006
Red Leaf Lettuce,2017-04-23,1.16,1.68,1.93,1.64,2.42,65.30172413793105
Green Leaf Lettuce,2017-04-23,1.14,1.85,1.83,1.64,2.33,67.76315789473686
Romaine Lettuce,2017-04-23,0.88,2.44,2.4,1.64,2.79,163.35227272727272
Iceberg Lettuce,2017-04-23,1.71,1.65,1.54,1.49,1.89,-3.947368421052644
Celery,2017-04-23,1.25,1.41,1.76,1.72,1.54,28.6
Cauliflower,2017-04-23,1.39,3.42,3.56,4.28,4.29,179.67625899280577
Carrots,2017-04-23,0.29,0.95,0.89,0.99,1.14,242.24137931034483
Broccoli Crowns,2017-04-23,0.51,1.97,2.22,2.14,2.58,336.7647058823529
Avocados,2017-04-23,1.17,1.28,1.77,1.62,2.09,44.44444444444444
Asparagus,2017-04-23,2.88,3.32,3.28,3.99,2.99,17.881944444444443
Asparagus,2017-04-16,2.69,2.66,2.78,3.99,3.25,17.843866171003707
Strawberries,2017-04-16,1.0,2.99,2.24,2.25,3.24,168.00000000000003
Oranges,2017-04-16,0.47,1.73,1.1,1.04,2.05,214.8936170212766
Green Leaf Lettuce,2017-04-16,2.08,1.85,2.26,1.64,2.22,-4.2067307692307825
Red Leaf Lettuce,2017-04-16,1.73,1.68,2.32,1.64,2.42,16.473988439306343
Romaine Lettuce,2017-04-16,1.82,2.07,2.31,1.64,2.79,21.016483516483486
Iceberg Lettuce,2017-04-16,1.87,1.49,1.92,1.49,1.94,-8.556149732620334
Celery,2017-04-16,1.09,1.43,1.71,1.97,1.79,58.256880733944925
Cauliflower,2017-04-16,2.53,3.78,3.56,4.28,3.66,50.98814229249014
Carrots,2017-04-16,0.29,0.95,0.89,0.99,1.14,242.24137931034483
Broccoli Crowns,2017-04-16,0.93,1.97,1.93,2.14,2.13,119.6236559139785
Broccoli Bunches,2017-04-16,0.94,1.6,1.26,1.79,1.69,68.61702127659575
Avocados,2017-04-16,1.2,1.39,1.77,1.59,1.88,38.12500000000001
Cauliflower,2017-04-09,3.53,3.42,3.44,3.88,3.74,2.5495750708215192
Strawberries,2017-04-09,1.15,2.49,2.5,2.87,3.61,149.34782608695656
Oranges,2017-04-09,0.43,1.15,1.2,0.99,1.84,201.1627906976744
Red Leaf Lettuce,2017-04-09,1.64,1.58,1.93,1.64,1.81,6.097560975609739
Green Leaf Lettuce,2017-04-09,2.14,1.58,1.83,1.64,1.74,-20.677570093457952
Romaine Lettuce,2017-04-09,2.11,2.11,2.47,1.64,2.07,-1.7772511848341277
Iceberg Lettuce,2017-04-09,1.82,1.24,1.44,1.49,1.61,-20.60439560439561
Celery,2017-04-09,0.92,1.44,1.71,1.72,1.79,80.9782608695652
Carrots,2017-04-09,0.29,0.95,0.82,0.99,1.13,235.3448275862069
Broccoli Crowns,2017-04-09,1.85,1.97,2.14,2.14,1.9,10.135135135135132
Broccoli Bunches,2017-04-09,1.54,1.77,1.3,1.39,1.69,-0.16233766233766378
Avocados,2017-04-09,1.14,1.51,1.67,1.75,2.09,53.94736842105263
Asparagus,2017-04-09,1.96,2.81,2.28,3.49,3.11,49.10714285714286
Strawberries,2017-04-02,1.69,2.99,2.61,1.87,3.32,59.615384615384606
Oranges,2017-04-02,0.43,1.44,1.17,1.24,1.84,230.81395348837205
Red Leaf Lettuce,2017-04-02,1.21,1.58,1.55,1.49,1.82,33.057851239669425
Celery,2017-04-02,0.84,1.44,1.61,1.92,1.72,99.10714285714286
Green Leaf Lettuce,2017-04-02,2.14,1.58,1.79,1.49,1.66,-23.83177570093458
Romaine Lettuce,2017-04-02,2.09,1.82,2.02,1.49,2.07,-11.483253588516739
Iceberg Lettuce,2017-04-02,1.41,1.24,1.44,1.49,1.61,2.4822695035461084
Cauliflower,2017-04-02,3.39,3.42,3.56,3.78,3.99,8.775811209439532
Carrots,2017-04-02,0.29,0.95,0.82,0.99,1.24,244.82758620689657
Asparagus,2017-04-02,1.81,2.81,3.28,3.49,3.11,75.27624309392264
Broccoli Crowns,2017-04-02,1.73,1.97,1.86,2.09,1.9,13.005780346820806
Broccoli Bunches,2017-04-02,1.4,1.78,1.28,1.39,1.69,9.642857142857153
Avocados,2017-04-02,1.11,1.43,1.67,1.75,2.09,56.30630630630628
Romaine Lettuce,2017-03-26,1.82,1.42,1.97,1.49,2.16,-3.296703296703296
Strawberries,2017-03-26,1.69,2.74,2.66,2.87,2.86,64.64497041420117
Oranges,2017-03-26,0.38,1.25,1.49,1.24,1.85,283.5526315789474
Red Leaf Lettuce,2017-03-26,0.86,1.32,1.57,1.49,1.82,80.23255813953489
Green Leaf Lettuce,2017-03-26,1.73,1.32,1.5,1.49,1.77,-12.138728323699421
Iceberg Lettuce,2017-03-26,0.86,0.94,1.44,1.49,1.54,57.26744186046513
Celery,2017-03-26,0.82,1.44,1.56,1.94,1.67,101.52439024390243
Cauliflower,2017-03-26,2.49,3.24,3.49,3.78,3.65,42.16867469879517
Carrots,2017-03-26,0.29,1.05,0.82,0.99,1.14,244.82758620689657
Broccoli Crowns,2017-03-26,0.96,2.31,2.01,2.09,1.88,115.88541666666666
Broccoli Bunches,2017-03-26,1.13,2.19,1.01,1.49,1.69,41.15044247787614
Avocados,2017-03-26,1.06,1.47,1.6,1.75,2.04,61.79245283018868
Asparagus,2017-03-26,1.46,2.66,2.08,2.99,2.04,67.2945205479452
Strawberries,2017-03-19,1.59,2.74,2.66,2.87,2.86,74.99999999999997
Romaine Lettuce,2017-03-19,1.33,1.42,1.97,1.49,2.16,32.33082706766916
Red Leaf Lettuce,2017-03-19,0.6,1.32,1.57,1.49,1.82,158.33333333333334
Oranges,2017-03-19,0.22,1.25,1.49,1.24,1.85,562.5
Iceberg Lettuce,2017-03-19,0.72,0.94,1.44,1.49,1.54,87.84722222222223
Green Leaf Lettuce,2017-03-19,1.04,1.32,1.5,1.49,1.77,46.153846153846146
Celery,2017-03-19,0.61,1.44,1.56,1.94,1.67,170.90163934426226
Cauliflower,2017-03-19,3.31,3.24,3.49,3.78,3.65,6.9486404833836835
Carrots,2017-03-19,0.29,1.05,0.82,0.99,1.14,244.82758620689657
Broccoli Crowns,2017-03-19,1.14,2.31,2.01,2.09,1.88,81.79824561403508
Broccoli Bunches,2017-03-19,0.97,2.19,1.01,1.49,1.69,64.43298969072167
